gsn,atc
2542,M01CC
2543,M01CC
2554,A16AX
2566,A07BA
2599,A01AC
2599,C05AA
2599,D07AB
2599,D07XB
2599,H02AB
2599,R01AD
2599,R03BA
2599,S01BA
2601,A01AB
2601,B05CA
2601,D08AC
2601,D09AA
2601,R02AA
2601,S01AX
2601,S02AA
2601,S03AA
2605,A01AA
2605,A12CD
2607,A01AA
2607,A12CD
2615,A01AA
2615,A12CD
2617,A01AA
2617,A12CD
2621,A01AA
2621,A12CD
2623,A01AA
2623,A12CD
2625,A01AA
2651,A02AB
2656,A09AB
2656,B05CB
2656,B05XA
2659,B05CB
2659,B05XA
2661,B05CB
2661,B05XA
2667,A02AC
2667,A12AA
2667,A02AA
2667,G04BX
2684,A02AC
2684,A12AA
2688,A02AC
2688,A12AA
2689,A02AC
2689,A12AA
2690,A02AC
2690,A12AA
2691,A02AC
2691,A12AA
2698,A02AB
2698,A02AA
2698,G04BX
2701,A02AB
2701,A02AA
2701,G04BX
2706,A02AB
2706,A02AA
2706,G04BX
2708,A02AB
2708,A02AA
2708,G04BX
2716,A02AB
2716,A02AA
2716,G04BX
2743,A02AB
2745,A02AB
2766,A02BX
2767,A02BB
2767,G02AD
2795,A09AA
2797,A09AA
2799,A09AA
2828,A07BC
2839,A03BA
2839,S01FA
2839,A07DA
2841,A03BA
2841,S01FA
2841,A07DA
2842,A07DA
2843,A07DA
2848,A07BC
2920,A06AB
2922,A06AB
2944,A06AB
2944,A06AG
2945,A06AB
2945,A06AG
2947,A06AB
2947,A06AG
2996,A06AA
2997,A06AA
3009,A06AA
3011,A06AA
3013,A06AA
3015,A06AA
3018,A06AA
3019,A06AA
3020,A06AA
3022,A06AD
3022,A12CC
3022,B05XA
3022,D11AX
3022,V04CC
3025,A06AD
3025,A12CC
3025,B05CB
3026,A02AA
3026,G04BX
3027,A02AA
3027,G04BX
3050,A06AC
3053,A06AC
3064,A06AC
3065,A06AC
3066,A06AC
3067,A06AD
3095,A05AA
3100,C10AC
3101,C10AC
3102,C10AC
3130,A09AA
3143,A06AD
3147,G03BA
3152,G03BA
3153,G03BA
3159,G03BA
3161,G03BA
3161,G03EK
3167,G03BA
3173,G03GA
3176,G03GA
3180,A14AA
3195,G03CA
3198,G03CA
3199,G03CA
3200,G03CA
3202,G03CA
3203,G03CA
3204,G03CA
3205,G03CA
3210,G03CA
3211,G03CA
3212,G03CA
3213,G03CA
3214,G03CA
3257,G03BA
3257,G03EK
3258,G03BA
3258,G03EK
3262,G03DA
3267,G03DA
3268,G03AC
3268,G03DA
3268,L02AB
3270,G03AC
3270,G03DA
3270,L02AB
3271,G03AC
3271,G03DA
3271,L02AB
3272,G03AC
3272,G03DA
3272,L02AB
3273,G03AC
3273,G03DA
3273,L02AB
3274,G03AC
3274,G03DC
3279,G02AB
3281,H01BB
3293,G03AA
3293,G03AB
3293,G03CA
3293,L02AA
3293,G03AC
3293,G03DC
3294,G03AA
3294,G03AB
3294,G03CA
3294,L02AA
3294,G03AC
3294,G03DC
3295,G03AA
3295,G03AB
3295,G03CA
3295,L02AA
3295,G03AC
3295,G03DC
3298,G03AA
3298,G03AB
3298,G03CA
3298,L02AA
3298,G03AC
3298,G03DC
3299,G03AA
3299,G03AB
3299,G03CA
3299,L02AA
3299,G03AC
3299,G03DC
3300,B03AA
3300,B03AD
3300,G03AA
3300,G03AB
3300,G03CA
3300,L02AA
3300,G03AC
3300,G03DC
3301,B03AA
3301,B03AD
3301,G03AA
3301,G03AB
3301,G03CA
3301,L02AA
3301,G03AC
3301,G03DC
3304,G03AA
3304,G03AB
3304,G03CA
3304,L02AA
3304,G03AC
3304,G03DC
3305,G03AA
3305,G03AB
3305,G03CA
3305,L02AA
3305,G03AC
3305,G03DC
3308,G03DC
3308,G03CA
3308,L02AA
3309,G03DC
3309,G03CA
3309,L02AA
3310,G03CA
3310,L02AA
3311,G03CA
3311,L02AA
3313,G03AC
3313,G03DC
3314,G03AA
3314,G03AB
3314,G03CA
3314,L02AA
3314,G03AC
3314,G03AD
3315,G03AA
3315,G03AB
3315,G03CA
3315,L02AA
3315,G03AC
3315,G03AD
3358,N01BB
3359,N01BB
3404,C01BB
3404,C05AD
3404,D04AB
3404,N01BB
3404,R02AD
3404,S01HA
3404,S02DA
3407,C01BB
3407,C05AD
3407,D04AB
3407,N01BB
3407,R02AD
3407,S01HA
3407,S02DA
3408,C01BB
3408,C05AD
3408,D04AB
3408,N01BB
3408,R02AD
3408,S01HA
3408,S02DA
3411,C01BB
3411,C05AD
3411,D04AB
3411,N01BB
3411,R02AD
3411,S01HA
3411,S02DA
3412,C01BB
3412,C05AD
3412,D04AB
3412,N01BB
3412,R02AD
3412,S01HA
3412,S02DA
3449,C05AD
3449,D04AB
3449,N01BA
3449,R02AD
3475,D08AE
3475,D09AA
3475,C05AD
3475,D04AB
3475,N01BA
3475,R02AD
3478,C05AD
3478,D04AB
3478,N01BA
3478,R02AD
3480,C05AD
3480,D04AB
3480,N01BA
3480,R02AD
3481,C05AD
3481,D04AB
3481,N01BA
3481,R02AD
3483,C05AD
3483,D04AB
3483,N01BA
3483,R02AD
3515,C05AD
3515,D04AB
3515,N01BA
3515,R02AD
3533,R07AB
3565,N01AX
3585,N03AA
3586,N03AA
3588,N03AA
3589,N03AA
3590,N03AA
3591,N03AA
3656,N05CC
3675,N06AX
3681,N06AX
3689,N05CD
3690,N05CD
3691,N05CD
3692,N05CD
3693,N05CD
3694,N05CD
3696,N05CD
3699,N02BE
3699,D04AA
3699,R06AA
3703,D04AA
3703,R06AA
3705,D04AA
3705,R06AA
3706,D04AA
3706,R06AA
3707,R06AA
3713,N05BC
3714,N05BC
3720,N05BB
3723,N05BB
3725,N05BB
3726,N05BB
3727,N05BB
3728,N05BB
3729,N05BB
3730,N05BB
3731,N05BB
3732,N05BB
3734,N05BA
3735,N05BA
3736,N05BA
3741,N05BA
3743,N05BA
3744,N05BA
3745,N05BA
3746,N05BA
3753,N05BA
3757,N05BA
3758,N05BA
3759,N05BA
3763,N05BA
3764,N05BA
3765,N05BA
3766,N05BA
3767,N05BA
3768,N05BA
3769,N05BA
3770,N05BA
3771,N05BA
3772,N05BA
3773,N05BA
3774,N05BA
3775,N05BA
3779,N05CD
3780,N05CD
3781,N05BE
3782,N05BE
3792,N05AA
3796,N05AA
3797,N05AA
3798,N05AA
3799,N05AA
3800,N05AA
3818,N05AB
3820,N05AB
3821,N05AB
3822,N05AB
3823,N05AB
3824,N05AB
3825,N05AB
3826,N05AB
3830,N05AB
3831,N05AB
3832,N05AB
3833,N05AB
3836,N05AB
3837,N05AB
3838,N05AB
3840,N05AB
3843,N05AB
3844,N05AB
3845,N05AB
3846,N05AB
3848,N05AB
3851,N05AB
3852,N05AB
3853,N05AB
3854,N05AB
3855,N05AC
3859,N05AC
3860,N05AC
3864,N05AC
3865,N05AC
3866,D04AA
3866,R06AD
3867,D04AA
3867,R06AD
3868,D04AA
3868,R06AD
3872,D04AA
3872,R06AD
3873,D04AA
3873,R06AD
3874,D04AA
3874,R06AD
3875,D04AA
3875,R06AD
3876,D04AA
3876,R06AD
3877,D04AA
3877,R06AD
3878,D04AA
3878,R06AD
3879,D04AA
3879,R06AD
3892,N05AG
3971,N05AD
3972,N05AD
3973,N05AD
3974,N05AD
3975,N05AD
3976,N05AD
3977,N05AD
3981,N05AH
3982,N05AH
3983,N05AH
3984,N05AH
3995,N05AF
3996,N05AF
3997,N05AF
3998,N05AF
3999,N05AF
4010,R06AX
4011,R06AX
4024,D08AX
4024,V03AB
4024,V03AZ
4026,N06BA
4027,N06BA
4028,N06BA
4029,N06BA
4047,N02AB
4049,N02AB
4052,N02AB
4053,N02AB
4068,N02AA
4069,N02AA
4070,N02AA
4072,N02AA
4078,N02AA
4080,N02AA
4083,N02AA
4084,N02AA
4085,N02AA
4086,N02AA
4087,N02AA
4089,N02AA
4090,N02AA
4091,N02AA
4092,N02AA
4096,N02AA
4097,N02AA
4098,N02AA
4099,N02AA
4100,N02AA
4101,N02AA
4102,N02AA
4103,N02AA
4105,N02AA
4108,N02AA
4109,N02AA
4110,N02AA
4112,N02AA
4120,A01AD
4120,B01AC
4120,N02BA
4120,D11AX
4120,N06BC
4120,R05DA
4149,N02BE
4149,D11AX
4149,N06BC
4149,R05DA
4163,N02BE
4163,R05DA
4163,N02AJ
4165,N02BE
4165,R05DA
4165,N02AJ
4169,N02BE
4169,R05DA
4169,N02AJ
4185,R05DA
4186,R05DA
4187,R05DA
4199,N02BE
4199,R05DA
4201,N02BE
4201,R05DA
4202,N02BE
4202,R05DA
4204,N02BE
4204,R05DA
4205,N02BE
4205,R05DA
4206,N02BE
4206,R05DA
4207,N02BE
4207,R05DA
4217,N02BE
4217,D11AX
4217,N06BC
4217,N02AA
4219,A01AD
4219,B01AC
4219,N02BA
4219,N02AA
4220,N02BE
4220,N02AA
4221,N02BE
4221,N02AA
4222,N02BE
4222,N02AA
4224,N02AA
4225,N02AA
4234,N07BC
4237,N07BC
4238,N07BC
4239,N07BC
4240,N07BC
4242,N07BC
4257,A07DA
4257,N02AA
4261,A07DA
4261,N02AA
4262,N02AE
4262,N07BC
4273,N02BE
4273,N02AC
4274,N02BE
4274,N02AC
4276,N02AC
4285,M01AG
4292,A06AH
4292,V03AB
4292,N02AD
4308,A01AD
4308,B01AC
4308,N02BA
4308,D11AX
4308,N06BC
4309,A01AD
4309,B01AC
4309,N02BA
4309,D11AX
4309,N06BC
4311,A01AD
4311,B01AC
4311,N02BA
4311,D11AX
4311,N06BC
4311,M03BC
4312,A01AD
4312,B01AC
4312,N02BA
4312,D11AX
4312,N06BC
4312,M03BC
4319,A01AD
4319,B01AC
4319,N02BA
4319,D11AX
4319,N06BC
4329,A01AD
4329,B01AC
4329,N02BA
4329,A09AB
4329,B05CB
4329,B05XA
4335,A01AD
4335,B01AC
4335,N02BA
4338,A01AD
4338,B01AC
4338,N02BA
4344,A01AD
4344,B01AC
4344,N02BA
4344,N02BE
4344,D11AX
4344,N06BC
4366,A01AD
4366,B01AC
4366,N02BA
4371,A01AD
4371,B01AC
4371,N02BA
4374,A01AD
4374,B01AC
4374,N02BA
4376,A01AD
4376,B01AC
4376,N02BA
4377,A01AD
4377,B01AC
4377,N02BA
4380,A01AD
4380,B01AC
4380,N02BA
4381,A01AD
4381,B01AC
4381,N02BA
4383,A01AD
4383,B01AC
4383,N02BA
4384,A01AD
4384,B01AC
4384,N02BA
4385,A01AD
4385,B01AC
4385,N02BA
4422,N02BA
4424,N02BA
4425,N02BA
4437,N02BA
4438,N02BA
4439,N02BA
4442,N02BA
4443,N02BA
4444,A07EC
4450,N02BE
4450,D11AX
4450,N06BC
4451,N02BE
4451,D11AX
4451,N06BC
4457,N02BE
4458,N02BE
4459,N02BE
4467,N02BE
4467,D04AA
4467,R06AC
4469,N02BE
4472,N02BE
4473,N02BE
4477,N02BE
4478,N02BE
4479,N02BE
4481,N02BE
4484,N02BE
4485,N02BE
4488,N02BE
4489,N02BE
4490,N02BE
4491,N02BE
4493,N02BE
4494,N02BE
4499,D11AX
4499,N06BC
4499,N02CA
4500,D11AX
4500,N06BC
4500,N02CA
4504,N02CA
4505,N02BE
4505,N05CC
4505,A03AX
4509,A06AH
4509,V03AB
4511,A06AH
4511,V03AB
4512,A06AH
4512,V03AB
4513,A06AH
4513,V03AB
4514,A06AH
4514,V03AB
4518,N07BB
4521,N03AB
4522,N03AB
4523,N03AB
4529,N03AB
4530,N03AB
4531,N03AB
4535,N03AG
4536,N03AG
4542,N03AA
4543,N03AA
4544,N03AA
4554,N03AD
4555,N03AD
4557,N03AF
4558,N03AF
4559,N03AF
4560,N03AE
4561,N03AE
4562,N03AE
4575,N04BB
4576,N04BB
4580,N04AA
4581,N04AA
4582,N04AA
4588,N04AC
4589,N04AC
4590,N04AC
4591,N04AC
4592,M03BC
4594,M03BC
4595,M03BC
4622,R05DA
4625,R05DA
4628,R05DA
4629,R05DA
4630,R05DA
4631,R05DA
4632,R05DA
4641,R05DB
4653,M03BA
4654,M03BA
4655,M03BA
4659,M03BB
4660,M03BB
4663,M03BA
4666,M03CA
4667,M03CA
4668,M03CA
4679,M03BX
4680,M03BX
4681,M03BX
4693,A04AD
4694,A04AD
4695,A04AD
4698,V06DC
4698,B05CX
4698,V04CA
4704,A04AD
4704,N05CM
4704,S01FA
4722,R06AA
4722,A11HA
4726,R06AE
4731,R06AE
4732,R06AE
4733,R06AE
4734,R06AE
4736,R06AE
4740,N07AB
4741,N07AB
4742,N07AB
4743,N07AB
4755,N07AA
4755,S01EB
4761,N07AA
4763,N07AA
4764,N07AA
4765,N07AA
4773,A03BA
4773,S01FA
4773,N03AA
4773,A04AD
4773,N05CM
4777,A03BA
4777,S01FA
4777,N03AA
4777,A04AD
4777,N05CM
4812,A03BA
4812,S01FA
4816,A03BA
4816,S01FA
4824,A03BA
4824,S01FA
4826,A03BA
4826,S01FA
4831,A04AD
4831,N05CM
4831,S01FA
4836,A04AD
4836,N05CM
4836,S01FA
4842,A03BB
4842,S01FA
4859,A03BA
4860,A03BA
4862,A03BA
4863,A03BA
4865,A03BA
4868,A03BA
4877,A03AB
4887,D11AA
